SEPTALNUCLEI,Cholinergic forebrain group
BABINSKIRESPONSE,Toe extension in infants is normal
PALMARGRASP,Infant hand closing on touch
PLAGIOCEPHALY,Skull asymmetry from positioning
CUPULOLITHIASIS,Particles adhere to cupula
SLEEPRELATEDHYPOVENTILATION,High CO2 during sleep
TRIGGERFINGER,Stenosing flexor tenosynovitis
UNCUS,Medial temporal hook shaped structure
INCREMENTALRESPONSE,Rise on high frequency RNS
ASPECTSSCORE,Early ischemia score on CT
VESTIBULARNUCLEI,Brainstem balance centers
FIBRILLATIONPOTENTIAL,Spontaneous single muscle fiber spike
NEUROKININRECEPTOR,Tachykinin binding receptor
MYELINBASICPROTEIN,Marker of active demyelination
INTERFERENCEPATTERN,Full EMG at maximal effort
IONOTROPICGLUTAMATERECEPTOR,AMPA NMDA kainate classes
GALANTREFLEX,Trunk curves to back stroke
NMOIGG,Historic name for AQP4 autoantibody
UTRICLE,Otolith organ sensing horizontal acceleration
ASYMMETRICTONICNECKREFLEX,Fencer posture in infants
ALBUMINCSFPLASMAINDEX,Barrier function ratio
SLEEPEFFICIENCY,Percent of time asleep in bed
SEROTONINTRANSPORTER,SERT reuptake protein
DEVELOPMENTALDYSPRAXIA,Childhood motor planning difficulty
WAKEAFTERONSET,Time awake after sleep begins
RECRUITMENTPATTERN,Firing increase with force
PERIRHINALCORTEX,Object memory association area
DEQUERVAINSTENOSYNOVITIS,Thumb tendon sheath inflammation
VESICULARGABATRANSPORTER,Loads inhibitory transmitter into vesicles
POSITIVEWAVESHARP,Denervation waveform on EMG
CSFOBSTRUCTION,Blockage affecting flow
BLOOMINGARTIFACT,Exaggerated signal loss on SWI
JOLTSIGN,Head turning exacerbates meningitis headache
MINIATUREENDPLATEPOTENTIAL,Spontaneous single vesicle event
CELLSFREEZINGTEST,Cryoglobulin like precipitation test
PARVALBUMININTERNEURON,Fast spiking cortical interneuron
MOROREFLEX,Infant startle like response
PIRIFORMCORTEX,Primary olfactory cortex
ROOTINGREFLEX,Infant turns to cheek touch
BLACKBLOODMRI,Vessel wall imaging technique
BRACHIALPLEXUSBIRTHINJURY,Neonatal upper limb weakness
SUBICULUM,Hippocampal output region
POPLITEALENTRAPMENT,Vascular and nerve compression behind knee
TIMEOFARRIVALMAP,Perfusion parameter image
VESICULARMONOAMINETRANSPORTER,Packs monoamines into vesicles
IVHCASTING,Intraventricular clot conforming to shape
FROINSSYNDROME,High protein with low flow CSF
NEUROMUSCULARBLOCKADE,Loss of transmission at junction
DECREMENTALRESPONSE,Drop on low frequency RNS
SLEEPINERTIA,Grogginess on awakening
HEMICRANIAEPISODICA,Short unilateral attacks responsive to indomethacin
DENSEBASILARARTERYSIGN,Bright basilar artery on CT
CHRONOTYPE,Morningness eveningness preference
PRIMARYSEXUALHEADACHE,Orgasm triggered head pain
METABOTROPICGLUTAMATERECEPTOR,mGlu family receptor
ACTIGRAPHY,Wrist movement sleep tracking
PIRIFORMISSYNDROME,Sciatic nerve compression at deep gluteal area
PAROXYSMALVERTIGO,Brief spinning episodes
HYPNICHEADACHE,Alarm clock headache in sleep
CLAUSTRUM,Thin sheet between insula and putamen
ENDPLATEPOTENTIAL,Local depolarization at NMJ
RETROSPLENIALCORTEX,Navigation and context region
OCULOCARDIACREFLEX,Eye pressure slows heart rate
CANALITHIASIS,Loose particles in semicircular canal
PRIMARYCOUGHHEADACHE,Triggered by Valsalva or cough
LANDAUREFLEX,Trunk extension in prone suspension
UPPERAIRWAYRESISTANCESYNDROME,Arousals from increased breathing effort
APNEAHYPOPNEAINDEX,Sleep apnea severity metric
IGGSYNTHESISRATE,Index of intrathecal antibody production
PHALENSTEST,Wrist flexion screens carpal tunnel
SLEEPLATENCY,Time to fall asleep
QUANTALCONTENT,Vesicles released per nerve impulse
OTOLITHDISPLACEMENT,Crystals moving from macula
CHOLINERGICINTERNEURON,Striatal modulator cell type
POLYSOMNOGRAPHY,Overnight multi channel recording
ILIOTIBIALBANDSYNDROME,Lateral knee pain from friction
GABATRANSPORTER,Uptake protein for inhibitory transmitter
HYPERPERFUSION,Excessive blood flow to tissue
SUPRASCAPULARENTRAPMENT,Compression at suprascapular notch
CSFPRESSURE,Opening measurement at lumbar puncture
LATERALMAMMILLARYNUCLEUS,Part of head direction circuit
DOPAMINETRANSPORTER,Reuptake protein for catecholamine
CORPUSCALLOSUMATROPHY,atrophy involving corpuscallosum
CORPUSCALLOSUMLESION,lesion involving corpuscallosum
CORPUSCALLOSUMINFARCT,infarct involving corpuscallosum
CORPUSCALLOSUMEDEMA,edema involving corpuscallosum
CORPUSCALLOSUMGLIOSIS,gliosis involving corpuscallosum
CORPUSCALLOSUMDEMYELINATION,demyelination involving corpuscallosum
CORPUSCALLOSUMMALFORMATION,malformation involving corpuscallosum
CORPUSCALLOSUMDYSFUNCTION,dysfunction involving corpuscallosum
FORNIXATROPHY,atrophy involving fornix
FORNIXLESION,lesion involving fornix
FORNIXINFARCT,infarct involving fornix
FORNIXEDEMA,edema involving fornix
FORNIXGLIOSIS,gliosis involving fornix
FORNIXDEMYELINATION,demyelination involving fornix
FORNIXMALFORMATION,malformation involving fornix
FORNIXDYSFUNCTION,dysfunction involving fornix
SEPTUMPELLUCIDUMATROPHY,atrophy involving septumpellucidum
SEPTUMPELLUCIDUMLESION,lesion involving septumpellucidum
